"Lytebox options","Настройки модуля Lytebox"
"Enable lytebox","Включить Lytebox"
"If enabled: include js, css files to frontend and replace template for images popup","Если включено: загружаются css и js файлы в пользовательской части и заменяется шаблон для изображений товара"
"Keep Magento zoom","Оставить Magento zoom"
"Lytebox design options","Дизайн Lytebox"
"Lyteboxs theme","Тема"
"Style in CSS. (Avalable themes: grey, blue, gold, green, red. Default: grey).","CSS стиль. (Доступные темы: grey, blue, gold, green, red. По умолчанию: grey). Также доступны русские версии (grey_ru, blue_ru, gold_ru, green_ru, red_ru)."
"Size of main image","Размер главного изображения"
"Size in pixels width_height. (Default 265_265).","Размер в пикселях width_height. (По умолчанию: 265_265)."
"Size of popup image","Размер открывающегося изображения"
"Size in pixels width_height. (Default 500_500, also can be only width, or empty for full size).","Размер в пикселях width_height. (По умолчанию: 500_500. Можно указать только ширину или пустое значение, для оригинального изображения)."
"Size of additional images","Размер дополнительных изображений"
"Size in pixels width_height. (Default 60_60)","Размер в пикселях width_height. (По умолчанию: 60_60)."
"Replace empty image label","Заменять пустой заголовок"
"Dipslays product name if image label is empty","Если заголовок изображения пустой, то показывается название товара"
"Enable lytebox animation","Включить анимацию Lytebox"
"Max Opacity","Максимальная непрозрачность"
"Controls transparency of shadow overlay (higher opacity = darker overlay, lower opacity = lighter overlay. Default: 80)","Управление прозрачностью заднего фона. (большая непрозрачность=темнее тень, меньшая непрозрачность=светлее тень. По умолчанию: 80)"
"Resize speed","Скорость анимации"
"Controls the speed of the image resizing animations (1=slowest and 10=fastest, 8 by default)","Управление скоростью анимации при показе изображения. (1=медленно, 10=быстро. По умолчанию: 8)"
"Border size","Размер рамки"
"Border width around image in lytebox (12 by default)","Ширина рамки вокруг изображения в Lytebox (По умолчанию: 12)"
"Label 'Image'","Текст 'Изображение'"
"When grouping images this is used to write: 'Image # of #'","Если изображений несколько, то используется текст: 'Изображение # из #'"
"Label 'of'","Текст 'из'"
"Lytebox slideshow options (for CMS pages only)","Настройки слайдшоу Lytebox (только для CMS страниц)"
"Slide interval","Задержка смены кадра"
"Change value (milliseconds) to increase/decrease the time between ""slides"" (10000 = 10 seconds)","Время (в миллисекундах) задержки при смене изображения (По умолчанию: 4000 = 4 секунды)"
"Show navigation","Показывать навигацию"
"Yes to display Next/Prev buttons/text during slideshow, No to hide","Да - для отображения кнопок/текста Next/Prev во время слайдшоу, Нет - спрятать"
"Show Close button","Показывать кнопку Закрыть"
"Yes to display the Close button, No to hide","Да - для отображения кнопки Закрыть во время слайдшоу, Нет - спрятать"
"Show details","Показывать детали"
"Yes to display image details (caption, count), No to hide","Да - для отображения информации об изображении (заголовок, количество), Нет - спрятать"
"Show Play/Pause button","Показывать кнопку Play/Pause"
"Yes to display pause/play buttons next to close button, No to hide","Да - для отображения кнопки Play/Pause рядом с кнопкой Закрыть, Нет - спрятать"
"Auto end","Закрыть окно после просмотра"
"Yes to automatically close Lytebox after the last image is reached, No to keep open","Да - автоматически закрыть Lytebox после показа последнего изображения, Нет - оставить открытым"
"Pause on Next click","Пауза, если нажали на Next"
"Yes to pause the slideshow when the ""Next"" button is clicked","Да - для остановки сладшоу, если была нажата кнопка Next"
"Pause on Prev click","Пауза, если нажали на Prev"
"Yes to pause the slideshow when the ""Prev"" button is clicked","Да - для остановки сладшоу, если была нажата кнопка Prev"

"Lytebox information","Информация о модуле Lytebox"
"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can see description of extension features and answers to the frequently asked questions on <a href=""%s"" target=""_balnk"">our website</a>.","Описание позможностей модуля и ответы на часто задаваемые вопросы смотрите на <a href=""%s"" target=""_balnk"">нашем сайте</a>."
"You can hire our team to customize the extension. E-mail us on sales@etwebsolutions.com.<br><br>You can see a list of provided services on <a href=""%s"" target=""_blank"">our website</a>.","Вы можете нанять нашу команду для любых работ по модификации модуля. Пишите на адрес sales@etwebsolutions.com.<br><br>Со списком предоставляемых нами услуг вы можете ознакомиться <a href=""%s"" target=""_blank"">на нашем сайте</a>."
"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a>.<br>You can see information freely, but you will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are connected to this extension.<br><br>If by some reason you can not submit a question, bug report or feature request to our ticket system, you can write us an email - support@etwebsolutions.com.","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br>Для создания задачи будет необходимо зарегистрироваться. Для просмотра информации регистрация не требуется.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."
